role_bucket,player_id,shortName,season17_score,season_minutes
defender,3970,G\u00e1lvez,14.357852310848653,2060
defender,41363,Gabriel,14.356702527588583,2707
defender,344132,T. Hern\u00e1ndez,14.127861735830708,1008
defender,278007,F. Ricca,14.04484921036999,1149
defender,6365,Bustinza,14.041790401866933,1696
defender,3407,Ramalho,13.974141975743075,2397
defender,4358,Laguardia,13.968271824707877,1597
defender,364850,J. Firpo,13.944350956302012,1250
defender,3306,Sergio Ramos,13.883096394304081,2395
defender,5472,Luis Hern\u00e1ndez,13.878505273457355,3382
defender,3791,Z. Feddal,13.867847231078377,1327
defender,20803,M. Aguirregaray,13.840010260779856,1203
defender,3408,Saborit,13.832444628948753,1491
defender,70507,Paulo Oliveira,13.72214793440777,2322
defender,3695,\u00c1lvaro Gonz\u00e1lez,13.721311605944573,3029
defender,3750,Balenziaga,13.657581602151991,1612
defender,4086,B\u00f3veda,13.607097772692967,1238
defender,3433,D. God\u00edn,13.58894988309444,2650
defender,3309,R. Varane,13.521703771475044,2424
defender,134503,C. Lenglet,13.506168322707758,3151
defender,32577,Sidnei,13.46464877503304,1865
defender,3464,Luna,13.387177294244005,2122
defender,3466,Alexis,13.36360987670457,2285
defender,25397,S. Umtiti,13.30943580359866,2279
defender,211853,R\u00faben Vezo,13.289591427577651,1632
defender,227894,J. Gim\u00e9nez,13.246931431545665,1771
defender,341751,Marc Navarro,13.204655153099178,1161
defender,3340,Muniesa,12.998388915452534,1174
defender,7857,Miquel,12.953152637999391,1842
defender,86183,F. Roncaglia,12.920835526595335,1549
defender,410055,Rober,12.838636779505949,2011
defender,4360,Juanpe,12.807553702009422,3199
defender,3806,Javi L\u00f3pez,12.770279195297663,1009
defender,8311,S. Savi\u0107,12.68968068403872,2393
defender,3447,Juanfran,12.685228806576472,1356
defender,247169,Diego Gonz\u00e1lez,12.653738348529181,1495
defender,70112,E. Garay,12.621235513876181,2112
defender,6513,Ra\u00fal Garc\u00eda,12.543883365125536,1454
defender,4065,J. Murillo,12.539514936640376,1434
defender,3496,Sergio Postigo,12.505568262681713,2532
defender,3692,Bernardo Espinosa,12.46291394435176,2988
defender,279533,Mario Hermoso,12.392393745321469,2007
defender,20433,S. Kj\u00e6r,12.294805579808703,1649
defender,112366,M. Lay\u00fan,12.279705466652917,1243
defender,3468,Juan Cala,11.955291247331505,1899
defender,292991,M. Lemos,11.90560175888829,1320
defender,5383,To\u00f1o,11.847147072007852,1126
defender,15214,A. Rukavina,11.69517845191526,1337
defender,224080,G. Marip\u00e1n,11.584016440494691,1607
defender,396475,A. Hakimi,11.546984818612911,781
defender,4936,David Sim\u00f3n,11.517459748171058,756
defender,20393,D. Bonera,11.274850724267502,1239
defender,3798,D\u00eddac Vil\u00e1,11.19335070810941,764
defender,7860,T. Vermaelen,11.054222552915997,1063
defender,4780,David Junc\u00e0,10.978284265736278,944
defender,3644,Bigas,10.935157445961764,935
defender,20808,E. Mu\u00f1oz,10.836469733256376,1461
defender,3642,Ramis,10.614333690434098,1361
defender,41124,Naldo,10.613113501496455,960
defender,26332,P. Baysse,10.51179165056523,1302
defender,5653,M. Mantovani,10.28152105087568,1066
defender,4355,David Garc\u00eda,10.268036323236238,899
defender,25701,L. Digne,10.214295594043154,736
defender,3465,Fernando Navarro,10.159338246369408,1097
defender,25452,S. Corchia,10.159036611853532,854
defender,278049,E. Cabaco,10.157607745053221,1098
defender,250899,Carlos Vigaray,10.118408632716092,942
defender,4180,Lomb\u00e1n,9.97040207632375,1046
defender,3735,Juankar,9.935237441816847,821
defender,3337,Font\u00e0s,9.886463936001089,929
defender,3795,H. Moreno,9.71706203418297,746
defender,5677,Bruno,9.526710534204023,1632
defender,125250,\u00d3. Duarte,9.32561830305646,1038
defender,230857,Yeray,9.270680020909651,706
defender,3355,J. Mascherano,9.155744901123933,564
defender,326535,Toni Lato,9.099940892813546,830
defender,4003,Miguel Torres,8.835158242713407,700
defender,4326,Tito,8.639110411386646,637
defender,4232,Pedro Alcal\u00e1,8.56586230558097,722
defender,86716,M. Dos Santos,8.45365420176123,1029
defender,85113,A. To\u0219ca,8.105244262001994,443
defender,3885,L. Cabrera,8.086835700299515,758
defender,3856,Molinero,7.4447898262439995,623
defender,256634,Y. Mina,6.256380309932121,386
defender,135903,Jo\u00e3o Cancelo,4.632358217004746,94
forward,3359,L. Messi,33.87639251991373,3127
forward,3322,Cristiano Ronaldo,32.08614154451615,2382
forward,7972,L. Su\u00e1rez,31.481531015922393,3015
forward,8278,G. Bale,29.21438714369826,1872
forward,5400,Gerard Moreno,29.153727924042432,3560
forward,3840,Iago Aspas,28.86860328857342,3056
forward,70129,Rodrigo,27.016357417863606,2785
forward,3451,Adri\u00e1n L\u00f3pez,26.53549902446345,2436
forward,247141,I\u00f1aki Williams,26.232181839222097,2976
forward,3682,A. Griezmann,26.080195435614588,2606
forward,395636,Maxi G\u00f3mez,25.25117270936515,3177
forward,40770,Willian Jos\u00e9,25.135648681480696,2876
forward,228902,J. Calleri,24.76574900431724,3239
forward,254408,\u00c1. Correa,24.65506650279275,2335
forward,22202,S. Zaza,24.46209187780552,2169
forward,5268,Sergio Le\u00f3n,24.407895310162523,2076
forward,7623,L\u00e9o Baptist\u00e3o,24.29425727379225,2775
forward,25795,W. Ben Yedder,24.226983337309854,1787
forward,116283,D. Rol\u00e1n,24.064859903716275,2037
forward,37831,C. Bacca,24.025426127227114,2586
forward,3321,K. Benzema,24.023272174696082,2240
forward,3874,Kike Garc\u00eda,23.958116678458868,2568
forward,4131,\u00c1ngel,23.82087784645191,2398
forward,20764,L. Muriel,23.767629003029473,1697
forward,237034,Gon\u00e7alo Guedes,23.73561185924986,2538
forward,3605,Jorge Molina,23.56915588893336,2917
forward,4498,Lucas V\u00e1zquez,23.5588870984254,1778
forward,6165,F. Andone,23.07697731691791,1727
forward,447821,Y. En-Nesyri,22.791820105465334,1673
forward,278278,Munir,22.728421540938427,2532
forward,3714,C. Stuani,22.552505658111965,2802
forward,3802,Philippe Coutinho,22.493351842160298,1336
forward,32968,N. Amrabat,22.474478955992378,1690
forward,70125,Nolito,22.46466662251329,1674
forward,344140,A. Ndiaye,22.439724212438467,2957
forward,105541,Lucas P\u00e9rez,22.214973336763794,2920
forward,254189,Ivi,22.122461923023177,1849
forward,274435,E. \u00dcnal,22.11336935314423,1807
