role,player_id,player,n_obs,arima_order,arima_next_forecast
Midfielder,289711,N. Ke\u00efta,37,"(1, 1, 0)",18.383875350585647
Midfielder,292310,L. Mazzitelli,32,"(1, 1, 0)",19.97793229617516
Midfielder,293686,J. Murphy,38,"(1, 1, 0)",16.923387372136176
Midfielder,295569,Ot\u00e1vio,32,"(1, 1, 0)",18.722667831955967
Midfielder,302518,L. Cook,31,"(1, 0, 0)",19.35776829157456
Midfielder,302600,S. Serdar,32,"(1, 1, 0)",18.728063571111278
Midfielder,302799,R. Mandragora,38,"(0, 1, 1)",18.561144264359736
Midfielder,303357,P. Billing,39,"(1, 1, 0)",19.574893847705734
Midfielder,325781,J. Lea Siliki,41,"(1, 1, 0)",20.976606635092107
Midfielder,327009,Walace,29,"(1, 1, 0)",20.905351607047862
Midfielder,328333,L. Pellegrini,35,"(1, 1, 0)",19.281940043256913
Midfielder,330387,M. Coco,40,"(1, 0, 0)",21.399673412645424
Midfielder,332605,Ramadan Sobhi,44,"(0, 1, 1)",17.609718016376476
Midfielder,333571,L. Torreira,45,"(0, 1, 1)",18.59133218777181
Midfielder,335763,J. Sambia,37,"(1, 1, 0)",21.108988876953678
Midfielder,339789,Mikel Merino,37,"(0, 1, 1)",19.124658476944504
Midfielder,340019,Gerson,34,"(1, 1, 0)",17.804326066995007
Midfielder,340920,L. Blas,40,"(1, 0, 0)",19.672755951534445
Midfielder,342743,L. Tousart,41,"(1, 1, 0)",17.723846826522283
Midfielder,344075,I\u00f1igo C\u00f3rdoba,38,"(0, 1, 1)",19.700230428190206
Midfielder,345707,B. \u00d6zcan,35,"(0, 1, 1)",19.23337120026018
Midfielder,346071,O. Burke,31,"(0, 1, 1)",17.674758579002656
Midfielder,346195,Fabi\u00e1n,38,"(0, 1, 1)",19.72733145669908
Midfielder,346908,A. Murgia,34,"(1, 1, 0)",18.955797773404868
Midfielder,347200,C. Nkunku,36,"(0, 1, 1)",19.66937429168458
Midfielder,349099,O. Mangala,38,"(1, 0, 0)",18.204094560370457
Midfielder,349102,S. Omeonga,38,"(0, 1, 1)",17.99950470142146
Midfielder,353236,T. Davies,39,"(0, 1, 1)",18.42254738550379
Midfielder,354547,J. Jankto,38,"(0, 1, 1)",18.924794168095776
Midfielder,355599,Mikel Oyarzabal,38,"(0, 1, 1)",20.18932484274919
Midfielder,356237,G. Lo Celso,37,"(0, 1, 1)",21.4750911054346
Midfielder,356903,S. \u00d6zcan,28,"(0, 1, 1)",18.185355361793075
Midfielder,360992,D. Zakaria,44,"(1, 1, 0)",18.75544718998753
Midfielder,361807,R. Bentancur,45,"(1, 1, 0)",19.25281041431142
Midfielder,364005,F. Valverde,34,"(1, 1, 0)",18.512694847652856
Midfielder,364644,A. Diouss\u00e9,38,"(1, 1, 0)",18.47772866654224
Midfielder,364860,Rodri,38,"(0, 1, 1)",18.392524136359782
Midfielder,366401,A. Zambo Anguissa,40,"(1, 1, 0)",18.862178433335323
Midfielder,366571,F. Maouassa,40,"(0, 1, 1)",18.572360573714707
Midfielder,366760,L. Coulibaly,40,"(1, 1, 0)",20.50964966789903
Midfielder,367621,D. Geiger,29,"(1, 1, 0)",19.10125878490902
Midfielder,372915,A. Harit,38,"(1, 1, 0)",20.320754358236595
Midfielder,374013,A. Diawara,34,"(1, 1, 0)",17.751970439115617
Midfielder,391530,C. Pulisic,38,"(1, 1, 0)",20.555460422477296
Midfielder,397033,B. Soumar\u00e9,23,"(1, 1, 0)",18.97809014182394
Midfielder,397046,H. Aouar,38,"(0, 1, 1)",17.946905182009594
Midfielder,397174,S. McTominay,22,"(0, 1, 1)",18.810993277443657
Midfielder,399676,Pablo Fornals,38,"(0, 1, 1)",19.163131733963134
Midfielder,406682,A. Lookman,28,"(0, 1, 1)",18.392117885477514
Midfielder,408827,B. Srarfi,42,"(1, 1, 0)",19.625310138962107
Midfielder,412897,Dani Raba,26,"(1, 1, 0)",19.85876579932658
Midfielder,413582,Y. Bissouma,39,"(0, 1, 1)",20.80714612364184
Midfielder,425925,K. Havertz,35,"(1, 0, 0)",18.739199051852086
Midfielder,425926,A. Maier,23,"(0, 1, 1)",19.372763469194194
Midfielder,447804,F. Chiesa,37,"(1, 1, 0)",19.270339344463185
Midfielder,448079,I. Sarr,47,"(0, 1, 1)",19.446689582781982
Midfielder,450784,\u00d3scar Melendo,37,"(0, 1, 1)",19.487474782831516
Midfielder,471348,W. McKennie,37,"(1, 1, 0)",17.87429515822888
