player_id,shortName,role_clean,xgb_forecast_next5
7938,A. Valencia,Defender,15.36776
22313,V. Laurini,Defender,14.277829
14778,\u00d6. Toprak,Defender,14.130352
14687,S. Papastathopoulos,Defender,14.253867
41363,Gabriel,Defender,13.571533
3339,Montoya,Defender,14.595296
14745,C. Molinaro,Defender,13.964424
134540,L. Kurzawa,Defender,14.1928625
135901,Pedro Rebocho,Defender,15.106175
136441,B. Davies,Defender,14.024708
3270,Barrag\u00e1n,Defender,14.244871
364850,J. Firpo,Defender,14.117128
25534,I. Cissokho,Defender,13.921827
7922,C. Smalling,Defender,14.166544
3667,De La Bella,Defender,15.773375
3278,Bruno Saltor,Defender,14.741324
225996,Diego Llorente,Defender,14.087044
21095,M. Darmian,Defender,13.785009
209012,K\u00e9vin Rodrigues,Defender,15.1216755
454,P. van Aanholt,Defender,14.1316395
8554,J. Tomkins,Defender,13.339289
8731,R. Shawcross,Defender,13.408217
25430,M. Sakho,Defender,14.496929
25854,K. Zouma,Defender,13.668036
107,E. Pieters,Defender,14.44321
49971,M. Bauer,Defender,14.513287
65075,M. Hinteregger,Defender,14.0616
343685,William,Defender,14.889966
14800,M. Schmelzer,Defender,15.391368
14775,B. Oczipka,Defender,14.434145
110,J. Willems,Defender,14.786447
21469,G. Donati,Defender,13.383858
258252,L. Klostermann,Defender,13.870727
15399,D. Brosinski,Defender,14.190888
8309,K. Rekik,Defender,13.528621
216074,C. G\u00fcnter,Defender,15.512325
14923,M. Russ,Defender,13.784532
70139,E. Ins\u00faa,Defender,14.896235
134392,K. Akpoguma,Defender,14.305516
221172,A. Hack,Defender,13.592749
337890,M. Mittelst\u00e4dt,Defender,14.1762295
32959,P. Pekar\u00edk,Defender,15.870865
366217,K. Danso,Defender,14.358284
15103,F. Lustenberger,Defender,14.01834
99410,M. Kami\u0144ski,Defender,13.3429575
14718,Rafinha,Defender,14.896675
50800,Miiko Albornoz,Defender,14.270259
352988,D. Upamecano,Defender,13.934544
11095,M. Veljkovic,Defender,14.440938
391441,M. Friedl,Defender,14.413187
14857,K. Papadopoulos,Defender,13.953041
15014,O. Wendt,Defender,14.29632
241966,G. Jung,Defender,14.478009
14689,Naldo,Defender,13.713749
16843,D. Heintz,Defender,13.523557
236528,N. Elvedi,Defender,13.74505
235606,T. Kehrer,Defender,13.622794
14715,H. Badstuber,Defender,13.602966
82340,T. Gebre Selassie,Defender,13.979769
235597,T. Baumgartl,Defender,14.289241
14917,R. Knoche,Defender,13.452796
18670,L. K\u00fcbler,Defender,14.668234
19720,M. Gulde,Defender,14.627035
15771,S. Langkamp,Defender,13.80696
15178,S. Bell,Defender,13.4508705
336829,R. Koch,Defender,14.004514
135788,J. Elez,Defender,13.383858
146569,M. Kempf,Defender,14.04483
284524,J. Horn,Defender,14.556828
14772,D. da Costa,Defender,14.898455
393247,I. Konat\u00e9,Defender,14.033812
14991,M. Ginter,Defender,13.889592
143566,Douglas Santos,Defender,15.731574
159,J. Gouweleeuw,Defender,14.116241
40657,Wendell,Defender,14.785471
14842,K. Vogt,Defender,14.243939
49859,A. Dragovi\u0107,Defender,13.895811
8360,C. Dawson,Defender,13.170975
9403,C. Cathcart,Defender,14.154508
7853,K. Gibbs,Defender,13.443141
8889,A. Mariappa,Defender,13.905581
9285,C. Daniels,Defender,14.341377
21164,F. Fern\u00e1ndez,Defender,13.716185
9277,S. Cook,Defender,13.237323
284,M. van der Hoorn,Defender,14.009289
160,D. Janmaat,Defender,14.573206
68085,C. Kabasele,Defender,13.690061
134102,N. Ak\u00e9,Defender,13.815084
5281,A. Nyom,Defender,14.077137
92899,J. Holebas,Defender,13.989656
3671,\u00cd\u00f1igo Mart\u00ednez,Defender,14.285719
3408,Saborit,Defender,15.023708
230862,Lekue,Defender,15.594443
20390,I. Abate,Defender,14.486949
8239,L. Baines,Defender,13.910613
8240,S. Coleman,Defender,15.815878
7919,M. Keane,Defender,14.547302
7302,Albentosa,Defender,13.460555
8245,P. Jagielka,Defender,14.286769
211853,R\u00faben Vezo,Defender,13.896206
21373,S. Romagnoli,Defender,14.0293455
92908,V. Torosidis,Defender,14.124145
70112,E. Garay,Defender,13.5528345
22377,I. M'baye,Defender,13.528214
3466,Alexis,Defender,14.303715
7857,Miquel,Defender,13.697386
254,R. Rosales,Defender,14.502298
50069,S. Widmer,Defender,14.848703
11078,T. Smith,Defender,13.641435
9280,S. Malone,Defender,13.81991
222766,Bruno Gaspar,Defender,13.944786
376362,Luiz Felipe,Defender,14.242342
21072,N. Spolli,Defender,13.482284
20429,N. Burdisso,Defender,13.26296
20434,A. Rosi,Defender,13.982193
263432,F. Vicari,Defender,13.463577
208865,Bastos,Defender,14.62308
86366,J. Palomino,Defender,13.437055
41034,Rafael Tol\u00f3i,Defender,13.680187
20723,B. Salamon,Defender,13.414484
37745,J. Lukaku,Defender,14.143748
21550,Gabriel Silva,Defender,15.089287
146590,F. Mattiello,Defender,13.79691
20841,A. Masiello,Defender,13.876401
102,Marcelo,Defender,13.767332
290119,M. Niakhat\u00e9,Defender,14.342971
26528,R. Genevois,Defender,15.16954
28528,J. Ikoko,Defender,14.169598
203113,I. Sylla,Defender,15.335888
49919,F. Moubandje,Defender,13.600024
286915,F. Eboa Eboa,Defender,14.20174
25637,R. Danz\u00e9,Defender,14.415693
25791,S. Yago,Defender,13.484089
29748,F. Chafik,Defender,14.206445
25947,B. Sankoh,Defender,13.364866
229427,A. Djiku,Defender,13.9961815
26138,J. Rivierez,Defender,13.803737
426702,H. Mendyl,Defender,14.733149
222220,A. Robertson,Defender,14.63444
167145,Beller\u00edn,Defender,14.5372095
22889,D. Zappacosta,Defender,13.430131
10108,K. Long,Defender,13.365471
8032,Marcos Alonso,Defender,14.672569
370,V. van Dijk,Defender,13.814511
9433,J. Tarkowski,Defender,14.293662
8643,M. Lowton,Defender,14.570288
8433,S. Ward,Defender,13.959895
20842,F. Peluso,Defender,13.575115
267185,C. Dell'Orco,Defender,13.173323
4238,M\u00edchel,Defender,14.597045
20803,M. Aguirregaray,Defender,15.563586
20636,M. Andreolli,Defender,13.687587
70088,Rolando,Defender,14.003923
5653,M. Mantovani,Defender,12.554571
3460,Coke,Defender,15.257523
93003,D. Siovas,Defender,13.759288
6365,Bustinza,Defender,14.681007
6281,Zald\u00faa,Defender,15.169341
213124,Chema,Defender,13.619961
3496,Sergio Postigo,Defender,13.579065
246866,A. Mawson,Defender,14.008177
7885,R. Bertrand,Defender,13.74005
8136,J. Stephens,Defender,13.759456
268776,W. Hoedt,Defender,13.628714
3534,Jaume Costa,Defender,14.217636
3277,V\u00edctor Ru\u00edz,Defender,13.7201185
15215,C. Schindler,Defender,13.1058035
132,T. Kongolo,Defender,13.120586
14853,C. Fuchs,Defender,15.112302
14796,C. L\u00f6we,Defender,13.3441725
282550,F. Hadergjonaj,Defender,13.079627
370224,R. Holding,Defender,14.030956
14748,A. R\u00fcdiger,Defender,13.949552
25553,Azpilicueta,Defender,15.286377
149019,D. Simpson,Defender,13.692425
20612,S. Mustafi,Defender,14.263486
8488,W. Morgan,Defender,13.532122
14869,S. Kola\u0161inac,Defender,14.537626
3523,F. Lejeune,Defender,13.789827
8242,S. Duffy,Defender,13.517776
134502,A. Laporte,Defender,14.399095
7978,P. Dummett,Defender,14.125215
252365,D. Yedlin,Defender,14.570978
8833,J. Lascelles,Defender,14.282416
26136,B. Mendy,Defender,15.295711
26495,G. Bong,Defender,14.704402
9097,L. Dunk,Defender,13.883384
14852,Sergio Escudero,Defender,15.209024
21100,A. Ogbonna,Defender,13.555759
8313,P. Zabaleta,Defender,14.845675
26499,A. Masuaku,Defender,15.042002
379209,D. Rice,Defender,14.937725
256998,E. Bailly,Defender,13.416835
8135,L. Shaw,Defender,14.823693
8582,A. Cresswell,Defender,14.289859
25883,J. Sorbon,Defender,13.516832
25943,C. Kerbrat,Defender,13.7511425
214628,J. Amavi,Defender,14.887587
169002,Diego Rico,Defender,14.799822
3828,Ra\u00fal Navas,Defender,14.341435
20808,E. Mu\u00f1oz,Defender,13.722837
278289,Odriozola,Defender,15.543704
134383,N. S\u00fcle,Defender,14.426977
15125,M. Plattenhardt,Defender,14.140793
14749,G. Sakai,Defender,14.544956
212604,T. Jedvaj,Defender,14.326695
3970,G\u00e1lvez,Defender,14.110544
3692,Bernardo Espinosa,Defender,13.740025
